"category_id";"category_name";"tag"
1;"emergency_services";"emergency"
2;"Vehicle/Parking/Traffic";"vehicle"
3;"Census/elections";"census"
4;"Buildings/construction";"building"
5;"parks/land/boundaries";"land"
6;"public_services/transit";"public"
7;"miscellaneous";"miscellaneous"
